Dataset, epsilon, cuda_mixed_time, cuda_mixed_result, tensor_mixed_time, tensor_mixed_result, cuda_fp64_time, cuda_fp64_result, tensor_fp64_time, tensor_fp64_result
expo_16D_2000000, 0.03, 18.67, 9165860, 34.72, 9162588, 29.9867, 9184214, 45.3599, 9184214
expo_16D_2000000, 0.035, 25.0, 48895628, 46.3, 48893088, 40.0493, 48893286, 62.9046, 48893286
expo_16D_2000000, 0.04, 33.8, 222832544, 59.64, 222849336, 52.9643, 222848664, 80.4966, 222848664
expo_16D_2000000, 0.045, 51.92, 813176652, 72.06, 813241564, 79.3678, 813268718, 103.489, 813268718
expo_16D_2000000, 0.05, 114.67, 2444655071, 99.99, 2443168978, 131.258, 2453705522, 133.542, 2453705522

expo_32D_2000000, 0.08, 82.17, 63254602, 138.86, 63257781, 110.33, 63256948, 214.994, 63256948
expo_32D_2000000, 0.085, 82.45, 186470936, 132.12, 186485634, 120.524, 186483472, 226.065, 186483472
expo_32D_2000000, 0.09, 100.23, 500993486, 140.71, 501033568, 137.575, 501031724, 242.283, 501031724
expo_32D_2000000, 0.095, 137.82, 1220690770, 162.58, 1219615065, 183.298, 1229383694, 283.678, 1229383694
expo_32D_2000000, 0.1, 215.5, 2755336344, 171.6, 2752724717, 271.03, 2775030350, 325.3, 2775030350

SUSY, 0.01, 6.77, 30712340, 10.04, 30996179, 7.77848, 30844186, 9.61698, 30844186
SUSY, 0.01275, 12.45, 162017824, 18.46, 162836182, 14.3854, 162645008, 19.8546, 162645008
SUSY, 0.0155, 24.28, 653504934, 35.65, 655557970, 26.5279, 655680946, 39.2434, 655680943
SUSY, 0.01825, 56.49, 2068438177, 69.0, 2073822736, 55.0818, 2072870916, 74.631, 2072870907
SUSY, 0.021, 177.8, 5421494147, 142.81, 5411956737, 119.779, 5457260816, 137.314, 5457260822

MSD, 0.007, 4.88, 68760166, 4.85, 67553958, 10.2607, 41137474, 11.1717, 41137474
MSD, 0.007525, 5.53, 125666544, 5.53, 123783834, 12.1922, 539884880, 12.7024, 539884880
MSD, 0.00805, 7.23, 213839230, 6.97, 211136821, 16.7442, 1686067336, 16.1178, 1686067336
MSD, 0.008575, 7.93, 343017018, 7.45, 339860417, 29.4584, 4751845544, 27.9338, 4751845544
MSD, 0.0091, 10.04, 525059209, 9.68, 520512653, 61.4015, 12151261248, 59.4831, 12151261248

bigcross, 0.001, 10.41, 41137416, 11.16, 36433935, 5.1274, 65915311, 6.20579, 65915311
bigcross, 0.00575, 11.07, 514235736, 12.14, 512436799, 5.71651, 121384099, 7.21421, 121384101
bigcross, 0.0105, 14.63, 1612299954, 15.6, 1604984383, 7.32599, 207932133, 9.13127, 207932133
bigcross, 0.01525, 24.15, 4752776230, 24.2, 4744305962, 8.38194, 335507787, 10.534, 335507785
bigcross, 0.02, 46.32, 12152365262, 46.9, 12137122876, 11.5482, 514926698, 13.6338, 514926694
